v	B
2600.042324	47.91711524
2598.667513	48.24824625
2597.294155	48.57456786
2595.922248	48.89282127
2594.55179	49.19963025
2593.182778	49.4915307
2591.815209	49.76500273
2590.449083	50.01650528
2589.084396	50.2425127
2587.721146	50.43955321
2586.359331	50.60424858
2584.998948	50.73335488
2583.639996	50.82380369
2582.282472	50.87274337
2580.926373	50.87757985
2579.571699	50.83601655
2578.218445	50.74609283
2576.866611	50.60622042
2575.516193	50.41521748
2574.16719	50.17233964
2572.8196	49.87730766
2571.47342	49.53033117
2570.128648	49.13212812
2568.785281	48.68393953
2567.443318	48.18753921
2566.102757	47.64523818
2564.763595	47.05988344
2563.425829	46.4348511
2562.089459	45.77403352
2560.754481	45.08182055
2559.420894	44.36307491
2558.088695	43.6231016
2556.757882	42.86761173
2555.428453	42.10268075
2554.100405	41.3347016
2552.773738	40.57033294
2551.448448	39.81644305
2550.124533	39.08004972
2548.801991	38.36825684
2547.480821	37.68818814
2546.16102	37.04691885
2544.842585	36.45140589
2543.525515	35.90841734
2542.209808	35.42446192
2540.895461	35.00571926
2539.582472	34.65797177
2538.27084	34.38653883
2536.960562	34.19621409
2535.651636	34.09120665
2534.344059	34.07508684
2533.037831	34.15073726
2531.732949	34.32030982
2530.42941	34.58518926
2529.127213	34.94596371
2527.826355	35.4024029
2526.526835	35.95344414
2525.228651	36.59718668
2523.9318	37.33089445
2522.63628	38.15100744
2521.342089	39.05316171
2520.049226	40.03221798
2518.757688	41.08229872
2517.467473	42.19683334
2516.178579	43.36861134
2514.891004	44.58984282
2513.604746	45.85222586
2512.319804	47.14702028
2511.036174	48.46512689
2509.753856	49.79717162
2508.472846	51.13359365
2507.193144	52.46473667
2505.914746	53.78094225
2504.637652	55.07264446
2503.361858	56.33046474
2502.087364	57.54530582
2500.814166	58.70844392
2499.542264	59.81161807
2498.271655	60.84711548
2497.002337	61.80785221
2495.734308	62.68744796
2494.467567	63.48029431
2493.20211	64.18161546
2491.937937	64.78752076
2490.675046	65.29504841
2489.413433	65.7021997
2488.153098	66.00796339
2486.894039	66.21232973
2485.636253	66.31629402
2484.379739	66.32184946
2483.124495	66.23196933
2481.870518	66.05057844
2480.617807	65.78251432
2479.366361	65.43347821
2478.116176	65.0099765
2476.867251	64.51925294
2475.619585	63.96921263
2474.373175	63.36833813
2473.128019	62.72559887
2471.884116	62.05035469
2470.641464	61.3522544
2469.40006	60.64113061
2468.159904	59.92689191
2466.920992	59.21941344
2465.683323	58.52842716
2464.446896	57.86341306
2463.211708	57.23349231
2461.977758	56.64732382
2460.745043	56.11300504
2459.513562	55.63797849
2458.283313	55.22894474
2457.054295	54.89178309
2455.826504	54.63148072
2454.59994	54.45207126
2453.374601	54.35658339
2452.150484	54.34700021
2450.927588	54.4242299
2449.705912	54.58808787
2448.485452	54.83729099
2447.266209	55.16946372
2446.048178	55.58115631
2444.83136	56.06787498
2443.615752	56.62412364
2442.401352	57.24345691
2441.188158	57.91854389
2439.976169	58.64124199
2438.765383	59.4026801
2437.555798	60.19335025
2436.347412	61.00320675
2435.140224	61.82177186
2433.934231	62.63824668
2432.729433	63.44162638
2431.525826	64.22081819
2430.32341	64.96476113
2429.122183	65.66254609
2427.922142	66.30353491
2426.723287	66.87747734
2425.525614	67.37462432
2424.329124	67.78583668
2423.133813	68.10268777
2421.939681	68.31755908
2420.746724	68.42372773
2419.554943	68.41544488
2418.364334	68.28800415
2417.174897	68.0377994
2415.986629	67.66237114
2414.799528	67.16044101
2413.613594	66.53193407
2412.428824	65.7779886
2411.245216	64.9009532
2410.06277	63.90437134
2408.881482	62.79295346
2407.701352	61.5725369
2406.522378	60.2500341
2405.344558	58.8333697
2404.16789	57.33140705
2402.992372	55.7538651
2401.818004	54.11122644
2400.644783	52.41463758
2399.472708	50.67580239
2398.301776	48.90687006
2397.131987	47.12031861
2395.963339	45.32883521
2394.795829	43.54519474
2393.629456	41.78213766
2392.46422	40.05224872
2391.300117	38.36783752
2390.137146	36.74082253
2388.975306	35.18261938
2387.814595	33.70403497
2386.655012	32.31516817
2385.496554	31.02531835
2384.33922	29.84290258
2383.183008	28.77538224
2382.027918	27.82919997
2380.873946	27.0097273
2379.721092	26.32122372
2378.569354	25.76680721
2377.418731	25.34843679
2376.26922	25.06690696
2375.12082	24.92185399
2373.973529	24.91177408
2372.827346	25.0340528
2371.68227	25.28500564
2370.538298	25.65992903
2369.39543	26.15316111
2368.253662	26.75815158
2367.112995	27.46753981
2365.973426	28.27324018
2364.834953	29.16653368
2363.697576	30.13816477
2362.561292	31.1784423
2361.4261	32.2773434
2360.291999	33.42461918
2359.158986	34.609901
2358.027061	35.82280622
2356.896221	37.05304224
2355.766465	38.29050776
2354.637792	39.52539007
2353.5102	40.7482575
2352.383688	41.95014601
2351.258253	43.12263904
2350.133894	44.25793986
2349.010611	45.34893567
2347.888401	46.38925302
2346.767262	47.37330383
2345.647194	48.29632188
2344.528194	49.1543893
2343.410261	49.94445309
2342.293394	50.66433158
2341.177591	51.31271087
2340.062851	51.88913153
2338.949172	52.39396585
2337.836552	52.8283861
2336.72499	53.19432415
2335.614485	53.49442331
2334.505035	53.73198288
2333.396638	53.91089626
2332.289294	54.03558343
