xs	Is
-250	1.949588035
-249.9389648	1.949116575
-249.8779297	1.948645634
-249.8168945	1.948175209
-249.7558594	1.9477053
-249.6948242	1.947235907
-249.6337891	1.946767029
-249.5727539	1.946298666
-249.5117188	1.945830817
-249.4506836	1.945363482
-249.3896484	1.944896659
-249.3286133	1.944430348
-249.2675781	1.943964549
-249.206543	1.943499261
-249.1455078	1.943034483
-249.0844727	1.942570215
-249.0234375	1.942106457
-248.9624023	1.941643207
-248.9013672	1.941180465
-248.840332	1.940718231
-248.7792969	1.940256503
-248.7182617	1.939795282
-248.6572266	1.939334567
-248.5961914	1.938874357
-248.5351563	1.938414651
-248.4741211	1.93795545
-248.4130859	1.937496751
-248.3520508	1.937038556
-248.2910156	1.936580863
-248.2299805	1.936123671
-248.1689453	1.935666981
-248.1079102	1.935210791
-248.046875	1.9347551
-247.9858398	1.93429991
-247.9248047	1.933845217
-247.8637695	1.933391023
-247.8027344	1.932937327
-247.7416992	1.932484127
-247.6806641	1.932031424
-247.6196289	1.931579217
-247.5585938	1.931127505
-247.4975586	1.930676288
-247.4365234	1.930225564
-247.3754883	1.929775335
-247.3144531	1.929325598
-247.253418	1.928876353
-247.1923828	1.9284276
-247.1313477	1.927979339
-247.0703125	1.927531568
-247.0092773	1.927084287
-246.9482422	1.926637495
-246.887207	1.926191192
-246.8261719	1.925745378
-246.7651367	1.925300051
-246.7041016	1.924855212
-246.6430664	1.924410859
-246.5820313	1.923966992
-246.5209961	1.92352361
-246.4599609	1.923080713
-246.3989258	1.922638301
-246.3378906	1.922196372
-246.2768555	1.921754926
-246.2158203	1.921313963
-246.1547852	1.920873482
-246.09375	1.920433483
-246.0327148	1.919993964
-245.9716797	1.919554925
-245.9106445	1.919116366
-245.8496094	1.918678286
-245.7885742	1.918240685
-245.7275391	1.917803562
-245.6665039	1.917366916
-245.6054688	1.916930747
-245.5444336	1.916495054
-245.4833984	1.916059837
-245.4223633	1.915625095
-245.3613281	1.915190828
-245.300293	1.914757035
-245.2392578	1.914323715
-245.1782227	1.913890868
-245.1171875	1.913458493
-245.0561523	1.91302659
-244.9951172	1.912595158
-244.934082	1.912164197
-244.8730469	1.911733705
-244.8120117	1.911303684
-244.7509766	1.910874131
-244.6899414	1.910445046
-244.6289063	1.910016429
-244.5678711	1.90958828
-244.5068359	1.909160597
-244.4458008	1.90873338
-244.3847656	1.908306629
-244.3237305	1.907880342
-244.2626953	1.90745452
-244.2016602	1.907029162
-244.140625	1.906604267
-244.0795898	1.906179835
-244.0185547	1.905755865
-243.9575195	1.905332356
-243.8964844	1.904909309
-243.8354492	1.904486722
-243.7744141	1.904064595
-243.7133789	1.903642927
-243.6523438	1.903221718
-243.5913086	1.902800967
-243.5302734	1.902380674
-243.4692383	1.901960838
